prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
Testa Toro X5 Suede Leather Sneakers - Washable & Comfortable,458.0,339.0,26.0,4.0
Luna Emollient Soft Cream with Glycerin & Jojoba Oil 50gm,40.0,23.0,43.0,4.3
Defacto Regular Fit Crew Neck Short Sleeve T-shirt,499.0,363.0,27.0,5.0
Hair Code FreeStyle Wetlook Hair Gel Tube - 160ml + Extra 25%,35.0,23.0,34.0,4.1
ADIDAS Courtblock Shoes,4.0,2.0,47.0,5.0
Superkids Hair Mask 300 gm,150.0,110.0,27.0,4.4
Frida Frida Home  Cleaning Fragrance Dark Forest 480 ml,72.0,45.0,38.0,4.2
Parachute Hair Oil With BIOTIN 180 ML,85.0,55.0,35.0,3.8
Defacto cto Woman Regular Fit Knitted Short Sleeve T-Shirt,699.0,278.0,60.0,5.0
ADIDAS Turnaround Shoes,5.0,3.0,45.0,4.6
Luna OFFER Glycerin Soap Pack of TWO 72gm Shea + fragrance Free,65.0,45.0,31.0,4.2
Testa Toro X5 Suede Leather Sneakers - Washable and Comfortable,458.0,339.0,26.0,4.1
Eva Eva Skin Care Senses Lip Balm Sweet Cherry 4 Gm,83.0,59.0,29.0,4.6
ADIDAS Breaknet 3.0 Shoes,4.0,2.0,48.0,4.3
Seropipe Hair Growth Accelerator Spray 200 ml,325.0,229.0,30.0,4.4
Argento Clear Face Wash For Oily And Mixed Skin - 200 Ml,259.0,119.0,54.0,4.2
Testa Toro X5 Suede Leather Sneaker – Washable and Easy to Clean,458.0,339.0,26.0,4.0
Defacto 100% Cotton Basic T-shirt,399.0,340.0,15.0,4.7
Renol Alcohol Sanitizer for Hands and Surfaces - Lemon Fragrance - 115 ml,40.0,29.0,28.0,4.4
Luna Emollient Shea Butter Lip Therapy Rose & Almond Oil - 10 gm,,70.0,,
Bahi Powder Lavander - 1 Kg,80.0,55.0,31.0,4.2
ADIDAS Lite Racer 4.0 Shoes - core black,4.0,2.0,44.0,4.7
ADIDAS Breaknet 3.0 Shoes,4.0,2.0,52.0,4.4
Care & More Petroleum jelly for intensive care with strawberr - 50 Ml,41.0,29.0,29.0,4.8
Clary Hair Mask 300 ml,380.0,285.0,25.0,4.0
Eva Eva Skin Clinic Vitamin C Facial Wash And Exfoliator For Cleansed Skin And Ultimate Even Skin Glow 150 Ml,147.0,106.0,28.0,4.3
Familia Classic Toilet Rolls - 2 Ply - 24 Rolls,155.0,116.0,25.0,4.2
ADIDAS Cloudfoam Move Sock Shoes,4.0,2.0,44.0,4.9
Feba Liquid Dish Cleaner With Lemon Scent - 520gm,38.0,26.0,32.0,4.4
Fiancee Shampoo with Avocado and Olive Hair Anti Frizz - Rich in Natural Ingredients - 340 ml,70.0,45.0,36.0,4.2
Testa Toro Q1 A Luxury Casual Shoe With A Fresh Design Concept,850.0,689.0,19.0,3.9
Luna Emollient Soft Cream with Vitamin E & Collagen 160 Gm,90.0,54.0,40.0,4.1
Defacto Micro Coated Padded Underwired T-Shirt Bra,499.0,427.0,14.0,4.0
Garnier Ultra Doux Nourishing Banana 3-In-1 Hair Food For Dry Hair - 390 Ml,345.0,259.0,25.0,4.2
Starville Micellar Water Wipes 25 pcs,75.0,49.0,35.0,4.3
Samsung Galaxy A07 Dual SIM 4G 128GB/6GB Mobile Pone- Black,8.0,7.0,10.0,4.9
NIVEA Pearl & Beauty Elegant Fragrance Anti-Perspirant Roll-On – 50 ml,100.0,69.0,31.0,4.3
Starville Cleanser 200 ml,180.0,119.0,34.0,4.1
ADIDAS VL Court 3.0 Shoes,6.0,3.0,45.0,5.0
Strongville Advanced Hair Oil 200 ml,175.0,119.0,32.0,4.4
NIVEA Silver Protect Antiperspirant - 50ml Roll-On - 72h,100.0,69.0,31.0,4.5
Superkids Roll On Lollipop Scent 30ml,110.0,84.0,24.0,4.2
Strongville Hair Shampoo 220 ml,185.0,122.0,34.0,4.3
Luna Emollient Cream for Hand & Heel - 20 Gm,30.0,18.0,40.0,4.3
ADIDAS Grand Court TD Lifestyle Court Casual Shoes,4.0,2.0,47.0,4.4
ADIDAS Lite Racer 4.0 Shoes,3.0,2.0,43.0,4.9
Renol Cleaning Gel For Clothes - 2KG,165.0,110.0,33.0,4.1
Cybele Rich Cream Lip Stick No. 122 Rock Brown,210.0,149.0,29.0,4.4
ADIDAS Barreda Decode Shoes,7.0,3.0,47.0,4.8
Luna Glycerin Soap - 115 Gm,55.0,28.0,49.0,4.3
ADIDAS Barreda Decode Shoes,3.0,2.0,43.0,4.5
